#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"100,251,354",,"1,102,915                                ",,"97,815,865",,"1,332,574","2,749","299,432","3,294","1,137,717,204","3,398,146","334,805,269 ",North America,,33040,,,"3,980",
2,India,"44,670,787",,"530,591                                ",,"44,132,915",,"7,281",698,"31,757",377,"904,266,334","642,859","1,406,631,776 ",Asia,,"312,6512",,,5,
3,France,"37,378,174",,"158,338                                ",,"36,684,572",,"535,264",869,"569,924","2,414","271,490,188","4,139,547","65,584,518 ",Europe,,24140,,,"8,161",
4,Germany,"36,247,081",,"156,812                                ",,"35,501,100","+68,700","589,169","1,406","432,112","1,869","122,332,384","1,458,359","83,883,596 ",Europe,,25351,,,"7,024",
5,Brazil,"35,066,199",,"689,064                                ",,"34,167,667",,"209,468","8,318","162,831","3,200","63,776,166","296,146","215,353,593 ",South America,,63133,,,973,
6,S. Korea,"26,654,729","+72,873","30,111                                ",+45,"25,730,635","+43,389","893,983",461,"519,283",587,"15,804,065","307,892","51,329,899 ",Asia,,"21,7053","1,420",0.9,"17,416",
7,Italy,"24,031,538",,"180,518                                ",,"23,398,125",,"452,895",247,"398,779","2,996","255,780,377","4,244,418","60,262,770 ",Europe,,33340,,,"7,515",
8,UK,"23,977,637",,"196,241                                ",,"23,701,984","+5,631","79,412",146,"350,049","2,865","522,526,476","7,628,357","68,497,907 ",Europe,,33490,,,"1,159",
9,Japan,"23,935,445","+121,460","48,482                                ",+144,"20,627,057","+5,590","3,259,906",263,"190,592",386,"80,348,457","639,794","125,584,838 ",Asia,,"52,5902",967,1,"25,958",
10,Russia,"21,540,891",,"391,509                                ",,"20,948,088",,"201,294","2,300","147,737","2,685","273,400,000","1,875,095","145,805,947 ",Europe,,73721,,,"1,381",
11,Turkey,"16,976,729",,"101,327                                ",,"16,875,402",,0,,"198,414","1,184","162,743,369","1,902,052","85,561,976 ",Asia,,58441,,,,
12,Spain,"13,573,721",,"115,641                                ",,"13,357,848",,"100,232",339,"290,539","2,475","471,036,328","10,082,298","46,719,142 ",Europe,,34040,,,"2,145",
13,Vietnam,"11,511,822",,"43,169                                ",,"10,607,014",,"861,639",58,"116,336",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2921",,,"8,708",
14,Australia,"10,564,087","+3,807","16,007                                ",+27,"10,364,130",,"183,950",68,"405,239",614,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,6290",146,1,"7,056",
15,Argentina,"9,723,924",,"130,017                                ",,"9,588,858","+1,329","5,049",237,"211,343","2,826","35,716,069","776,264","46,010,234 ",South America,,53541,,,110,
16,Netherlands,"8,534,144",,"22,892                                ",,"8,476,603","+4,790","34,649",37,"495,841","1,330","25,984,435","1,509,718","17,211,447 ",Europe,,27521,,,"2,013",
17,Taiwan,"8,193,072","+18,179","14,029                                ",+38,"7,766,109","+33,118","412,934",,"342,970",587,"28,360,855","1,187,213","23,888,595 ",Asia,,"31,7031",761,2,"17,286",
18,Iran,"7,559,368",,"144,627                                ",,"7,334,803",,"79,938",76,"87,876","1,681","54,420,785","632,632","86,022,837 ",Asia,,115952,,,929,
19,Mexico,"7,118,933",,"330,444                                ",,"6,390,444",,"398,045","4,798","54,111","2,512","18,675,146","141,949","131,562,772 ",North America,,183987,,,"3,026",
20,Indonesia,"6,612,673",,"159,422                                ",,"6,393,664",,"59,587","2,771","23,690",571,"111,842,418","400,676","279,134,505 ",Asia,,"421,7512",,,213,
21,Poland,"6,348,928",,"118,274                                ",,"5,335,940",,"894,714","1,530","168,229","3,134","37,745,204","1,000,144","37,739,785 ",Europe,,63191,,,"23,707",
22,Colombia,"6,312,657",,"141,881                                ",,"6,139,728",,"31,048",342,"122,545","2,754","36,831,583","714,999","51,512,762 ",South America,,83631,,,603,
23,Portugal,"5,537,108",,"25,395                                ",,"5,490,209",+448,"21,504",61,"546,035","2,504","45,059,939","4,443,531","10,140,570 ",Europe,,23990,,,"2,121",
24,Austria,"5,520,300",,"21,144                                ",,"5,460,851",,"38,305",47,"608,854","2,332","202,088,800","22,289,099","9,066,710 ",Europe,,24290,,,"4,225",
25,Ukraine,"5,329,536",,"110,403                                ",,"5,199,891","+2,340","19,242",,"123,391","2,556","32,603,805","754,855","43,192,122 ",Europe,,83911,,,445,
26,Greece,"5,306,482",,"34,024                                ",,"5,240,346","+8,028","32,112",115,"514,362","3,298","98,962,476","9,592,513","10,316,637 ",Europe,,23030,,,"3,113",
27,Malaysia,"4,969,420",,"36,609                                ",,"4,905,670",,"27,141",92,"149,767","1,103","66,143,090","1,993,398","33,181,072 ",Asia,,79061,,,818,
28,Chile,"4,880,884",,"62,211                                ",,"4,804,756",,"13,917",138,"253,550","3,232","46,822,149","2,432,295","19,250,195 ",South America,,43090,,,723,
29,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,,"5351,225",,,,
30,Israel,"4,707,644",,"11,818                                ",,"4,686,388",,"9,438",36,"504,787","1,267","41,373,364","4,436,346","9,326,000 ",Asia,,27890,,,"1,012",
31,Thailand,"4,702,330",,"33,106                                ",,"4,649,509",,"19,715","1,496","67,101",472,"17,270,775","246,450","70,078,203 ",Asia,,"152,1174",,,281,
32,Belgium,"4,627,186",,"33,021                                ",,"4,571,845","+1,214","22,320",57,"396,561","2,830","36,044,419","3,089,095","11,668,278 ",Europe,,33530,,,"1,913",
33,Canada,"4,392,747",,"47,468                                ",,"4,276,739",,"68,540",99,"114,429","1,237","66,191,953","1,724,269","38,388,419 ",North America,,98091,,,"1,785",
34,Switzerland,"4,276,830",,"14,290                                ",,"4,189,327","+4,216","73,213",59,"487,464","1,629","22,861,905","2,605,750","8,773,637 ",Europe,,26140,,,"8,345",
35,Peru,"4,192,300",,"217,279                                ",,"3,946,085","+1,545","28,936",61,"124,459","6,450","36,183,338","1,074,193","33,684,208 ",South America,,81551,,,859,
36,Czechia,"4,168,864",+848,"41,772                                ",+3,"4,124,752",+559,"2,340",28,"388,279","3,891","56,575,140","5,269,282","10,736,784 ",Europe,,32570,79,0.3,218,
37,South Africa,"4,038,121",,"102,395                                ",,"3,912,506",,"23,220",192,"66,464","1,685","26,473,049","435,726","60,756,135 ",Africa,,155932,,,382,
38,Philippines,"4,026,895",,"64,485                                ",,"3,944,231",,"18,179",155,"35,792",573,"33,558,848","298,277","112,508,994 ",Asia,,"281,7453",,,162,
39,Romania,"3,294,447",,"67,253                                ",,"3,221,931",,"5,263",93,"173,106","3,534","25,685,360","1,349,635","19,031,335 ",Europe,,62831,,,277,
40,Denmark,"3,144,021",,"7,494                                ",,"3,132,078",,"4,449",1,"538,826","1,284","128,760,038","22,067,034","5,834,950 ",Europe,,27790,,,762,
41,Sweden,"2,622,790",,"20,896                                ",,"2,589,195",+268,"12,699",18,"256,659","2,045","19,112,603","1,870,306","10,218,971 ",Europe,,44891,,,"1,243",
42,Iraq,"2,463,021",,"25,363                                ",,"2,436,695",,963,21,"58,414",602,"19,448,292","461,243","42,164,965 ",Asia,,"171,6622",,,23,
43,Serbia,"2,418,306",,"17,347                                ",,"2,389,487",,"11,472",16,"279,476","2,005","11,550,895","1,334,898","8,653,016 ",Europe,,44991,,,"1,326",
44,Hungary,"2,157,995",,"48,184                                ",,"2,091,278",,"18,533",10,"224,645","5,016","11,394,556","1,186,160","9,606,259 ",Europe,,41991,,,"1,929",
45,Singapore,"2,154,633",,"1,700                                ",,"2,078,748",,"74,185",9,"362,516",286,"24,622,510","4,142,731","5,943,546 ",Asia,,"33,4960",,,"12,482",
46,Hong Kong,"2,043,967",,"10,610                                ",,"1,827,238",,"206,119",13,"268,791","1,395","66,284,763","8,716,749","7,604,299 ",Asia,,47170,,,"27,106",
47,Bangladesh,"2,036,393",,"29,431                                ",,"1,984,952",,"22,010","1,331","12,130",175,"15,067,289","89,747","167,885,689 ",Asia,,"825,70411",,,131,
48,New Zealand,"1,918,070",,"3,239                                ",,"1,891,853",,"22,978",,"391,586",661,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,,"31,5121",,,"4,691",
49,Slovakia,"1,855,037",,"20,712                                ",,"1,832,861",,"1,464",34,"339,738","3,793","7,347,836","1,345,710","5,460,193 ",Europe,,32641,,,268,
50,Georgia,"1,785,138",,"16,912                                ",,"1,637,293",,"130,933",,"449,800","4,261","16,920,079","4,263,340","3,968,738 ",Asia,,22350,,,"32,991",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,677,386",,"8,102                                ",,"1,663,511",,"5,773",11,"334,127","1,614","12,827,698","2,555,217","5,020,199 ",Europe,,36200,,,"1,150",
53,Pakistan,"1,574,939",+25,"30,630                                ",,"1,538,689",,"5,620",46,"6,863",133,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4928",0.1,,24,
54,Norway,"1,467,622",,"4,325                                ",,"1,461,259",,"2,038",20,"266,290",785,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,2741",,,370,
55,Kazakhstan,"1,395,857",+56,"13,693                                ",,"1,380,356",,"1,808",24,"72,682",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4032",3,,94,
56,Finland,"1,384,654",,"7,173                                ",,"1,346,711","+1,730","30,770",21,"249,264","1,291","11,756,851","2,116,460","5,554,960 ",Europe,,47740,,,"5,539",
57,Bulgaria,"1,285,645",,"38,010                                ",,"1,240,394",,"7,241",55,"187,834","5,553","10,790,780","1,576,540","6,844,597 ",Europe,,51801,,,"1,058",
58,Lithuania,"1,273,064",,"9,419                                ",,"1,259,233",,"4,412",7,"478,288","3,539","10,246,165","3,849,470","2,661,708 ",Europe,,22830,,,"1,658",
59,Morocco,"1,267,350",,"16,283                                ",,"1,250,292",,775,293,"33,552",431,"12,724,759","336,877","37,772,756 ",Africa,,"302,3203",,,21,
60,Croatia,"1,251,441",,"17,268                                ",,"1,232,844",,"1,329",7,"308,291","4,254","5,343,116","1,316,270","4,059,286 ",Europe,,32351,,,327,
